Item#,Item Name
1,iPhone 16 Pro Max
2,iPhone 16
3,iPhone 15 Pro
4,iPhone SE (3rd Gen)
5,MacBook Air M3
6,MacBook Pro 14” M3
7,MacBook Pro 16” M3 Max
8,iMac 24” M3
9,Mac Mini M2
10,Mac Studio M3 Ultra
11,iPad Pro 13” M4
12,iPad Air 11” M2
13,iPad Mini 6th Gen
14,Apple Pencil (2nd Gen)
15,Apple Pencil (USB-C)
16,Magic Keyboard for iPad
17,Smart Folio Case
18,AirPods Pro (2nd Gen)
19,AirPods 3rd Gen
20,AirPods Max
21,Apple Watch Series 10
22,Apple Watch Ultra 2
23,Apple Watch SE
24,MagSafe Charger
25,iPhone Silicone Case
26,iPhone Leather Case
27,20W USB-C Adapter
28,Thunderbolt 4 Cable
29,Lightning Cable
30,Apple TV 4K
31,HomePod Mini
32,AirTag (4-Pack)
33,Beats Studio Pro
34,Beats Fit Pro
35,AppleCare+ for iPhone
36,AppleCare+ for MacBook
37,iCloud+ Subscription
38,Final Cut Pro License
39,Logic Pro License
40,Apple Gift Card
