Transaction ID,Transaction
T1,iPhone 16,iPhone Silicone Case,MagSafe Charger
T2,iPhone 16,iPhone Silicone Case,MagSafe Charger
T3,iPhone 16,iPhone Silicone Case,MagSafe Charger
T4,MacBook Air M3,AppleCare+ for MacBook,Thunderbolt 4 Cable
T5,MacBook Air M3,AppleCare+ for MacBook,Thunderbolt 4 Cable
T6,MacBook Air M3,AppleCare+ for MacBook,Thunderbolt 4 Cable
T7,AirPods Pro (2nd Gen),MagSafe Charger,Apple Gift Card
T8,AirPods Pro (2nd Gen),MagSafe Charger,Apple Gift Card
T9,AirPods Pro (2nd Gen),MagSafe Charger,Apple Gift Card
T10,iPad Pro 13” M4,Apple Pencil (2nd Gen),Magic Keyboard for iPad
T11,iPad Pro 13” M4,Apple Pencil (2nd Gen),Magic Keyboard for iPad
T12,iPad Pro 13” M4,Apple Pencil (2nd Gen),Magic Keyboard for iPad
T13,iPhone 15 Pro,20W USB-C Adapter,iPhone Leather Case
T14,iPhone 15 Pro,20W USB-C Adapter,iPhone Leather Case
T15,iPhone 15 Pro,20W USB-C Adapter,iPhone Leather Case
T16,Apple Watch Series 10,AppleCare+ for iPhone,Apple Gift Card
T17,Apple Watch Series 10,AppleCare+ for iPhone,Apple Gift Card
T18,Apple Watch Series 10,AppleCare+ for iPhone,Apple Gift Card
T19,HomePod Mini,Apple TV 4K,Apple Gift Card
T20,HomePod Mini,AirTag (4-Pack),Apple Gift Card
T21,AirTag (4-Pack),iPhone Silicone Case,Apple Gift Card
T22,Beats Studio Pro,20W USB-C Adapter,Apple Gift Card
T23,Beats Fit Pro,iCloud+ Subscription,Apple Gift Card
T24,Final Cut Pro License,iCloud+ Subscription,Apple Gift Card
T25,Logic Pro License,iCloud+ Subscription,Apple Gift Card
T26,Mac Mini M2,Thunderbolt 4 Cable,Apple Gift Card
T27,Mac Studio M3 Ultra,Thunderbolt 4 Cable,AppleCare+ for MacBook
T28,iPhone 16,iPhone Leather Case,AppleCare+ for iPhone
T29,iPhone 16 Pro Max,MagSafe Charger,20W USB-C Adapter
T30,AirPods 3rd Gen,20W USB-C Adapter,Apple Gift Card
T31,iPad Air 11” M2,Apple Pencil (USB-C),Smart Folio Case
T32,iPad Mini 6th Gen,Apple Pencil (USB-C),Smart Folio Case
T33,AirPods Max,Apple Gift Card,iCloud+ Subscription
T34,Beats Studio Pro,MagSafe Charger,Apple Gift Card
T35,iPhone 16,iPhone Silicone Case,MagSafe Charger
T36,MacBook Air M3,AppleCare+ for MacBook,Thunderbolt 4 Cable
T37,AirPods Pro (2nd Gen),MagSafe Charger,Apple Gift Card
T38,iPad Pro 13” M4,Apple Pencil (2nd Gen),Magic Keyboard for iPad
T39,Apple Watch Ultra 2,Apple Gift Card,20W USB-C Adapter
T40,Apple TV 4K,HomePod Mini,AirTag (4-Pack)
T41,AirTag (4-Pack),iPhone Leather Case,Apple Gift Card
T42,Beats Fit Pro,20W USB-C Adapter,Apple Gift Card
T43,Final Cut Pro License,Logic Pro License,iCloud+ Subscription
T44,MacBook Pro 14” M3,AppleCare+ for MacBook,Thunderbolt 4 Cable
T45,MacBook Pro 16” M3 Max,AppleCare+ for MacBook,Thunderbolt 4 Cable
T46,Mac Studio M3 Ultra,MacBook Pro 16” M3 Max,Thunderbolt 4 Cable
T47,iPhone SE (3rd Gen),20W USB-C Adapter,iPhone Silicone Case
T48,AirPods Pro (2nd Gen),MagSafe Charger,Apple Gift Card
T49,iPhone 16,iPhone Silicone Case,MagSafe Charger
T50,MacBook Air M3,AppleCare+ for MacBook,Thunderbolt 4 Cable
