Item#,Item Name
1,Basic Haircut
2,Layered Haircut
3,Bob Cut
4,Buzz Cut
5,Crew Cut
6,Fade Haircut
7,Undercut Style
8,Beard Trim
9,Clean Shave
10,Hot Towel Shave
11,Hair Wash
12,Hair Spa
13,Hair Straightening
14,Hair Curling
15,Hair Coloring (Full)
16,Hair Highlights
17,Root Touch-Up
18,Hair Bleaching
19,Hair Extensions
20,Hair Smoothening
21,Hair Keratin Treatment
22,Dandruff Treatment
23,Hair Fall Treatment
24,Scalp Massage
25,Oil Massage
26,Head Massage
27,Shoulder Massage
28,Shampoo + Conditioner Package
29,Bridal Hairstyle
30,Groom Hairstyle
31,Kids Haircut
32,Hair Botox Treatment
33,Beard Coloring
34,Moustache Trim
35,Eyebrow Threading
36,Facial Cleanup
37,Charcoal Facial
38,Detan Treatment
39,Pedicure
40,Manicure
