Transaction ID,Transaction
T1,Hair Wash,Basic Haircut
T2,Hair Wash,Basic Haircut
T3,Hair Wash,Basic Haircut
T4,Beard Trim,Moustache Trim
T5,Beard Trim,Moustache Trim
T6,Beard Trim,Moustache Trim
T7,Hair Smoothening,Hair Keratin Treatment
T8,Hair Smoothening,Hair Keratin Treatment
T9,Hair Smoothening,Hair Keratin Treatment
T10,Facial Cleanup,Charcoal Facial
T11,Facial Cleanup,Charcoal Facial
T12,Facial Cleanup,Charcoal Facial
T13,Hair Coloring (Full),Root Touch-Up
T14,Hair Coloring (Full),Root Touch-Up
T15,Hair Coloring (Full),Root Touch-Up
T16,Kids Haircut,Hair Wash
T17,Kids Haircut,Hair Wash
T18,Kids Haircut,Hair Wash
T19,Shampoo + Conditioner Package,Hair Wash
T20,Shampoo + Conditioner Package,Hair Wash
T21,Bridal Hairstyle,Hair Extensions
T22,Bridal Hairstyle,Hair Extensions
T23,Groom Hairstyle,Beard Trim
T24,Groom Hairstyle,Beard Trim
T25,Hair Botox Treatment,Hair Smoothening
T26,Hair Botox Treatment,Hair Smoothening
T27,Beard Coloring,Moustache Trim
T28,Beard Coloring,Moustache Trim
T29,Eyebrow Threading,Facial Cleanup
T30,Eyebrow Threading,Facial Cleanup
T31,Pedicure,Manicure
T32,Pedicure,Manicure
T33,Hair Cut (Layered),Hair Highlights
T34,Hair Cut (Layered),Hair Highlights
T35,Bob Cut,Root Touch-Up
T36,Bob Cut,Root Touch-Up
T37,Fade Haircut,Clean Shave
T38,Fade Haircut,Clean Shave
T39,Undercut Style,Beard Coloring
T40,Undercut Style,Beard Coloring
T41,Hair Straightening,Hair Keratin Treatment
T42,Hair Straightening,Hair Keratin Treatment
T43,Hair Curling,Hair Highlights
T44,Hair Curling,Hair Highlights
T45,Layered Haircut,Hair Wash
T46,Layered Haircut,Hair Wash
T47,Hot Towel Shave,Clean Shave
T48,Hot Towel Shave,Clean Shave
T49,Bridal Hairstyle,Hair Smoothening
T50,Kids Haircut,Facial Cleanup
