Transaction ID,Transaction
T1,Paracetamol Tablets,Cough Syrup,Vitamin C Chewables
T2,Paracetamol Tablets,Cough Syrup,Vitamin C Chewables
T3,Paracetamol Tablets,Cough Syrup,Vitamin C Chewables
T4,Vitamin C Chewables,Zinc Tablets,Multivitamin Capsules
T5,Vitamin C Chewables,Zinc Tablets,Multivitamin Capsules
T6,Vitamin C Chewables,Zinc Tablets,Multivitamin Capsules
T7,First Aid Kit,Band-Aids (Pack of 50),Antiseptic Cream
T8,First Aid Kit,Band-Aids (Pack of 50),Antiseptic Cream
T9,First Aid Kit,Band-Aids (Pack of 50),Antiseptic Cream
T10,Pain Relief Spray,Hot Water Bag,Muscle Relaxant Gel
T11,Pain Relief Spray,Hot Water Bag,Muscle Relaxant Gel
T12,Pain Relief Spray,Hot Water Bag,Muscle Relaxant Gel
T13,Insulin Pen,Diabetic Test Strips,Glucose Monitor Kit
T14,Insulin Pen,Diabetic Test Strips,Glucose Monitor Kit
T15,Insulin Pen,Diabetic Test Strips,Glucose Monitor Kit
T16,Blood Pressure Monitor,Thermometer (Digital),Surgical Gloves
T17,Paracetamol Tablets,Antacid Suspension,ORS Powder Pack
T18,Ibuprofen 400mg,Pain Relief Spray,Hot Water Bag
T19,Aspirin 75mg,Omeprazole Capsules,Antacid Suspension
T20,Cetirizine Tablets,Loratadine Tablets,Nasal Spray
T21,Hand Sanitizer,Face Masks (Box of 50),Cotton Balls
T22,Hand Sanitizer,Face Masks (Box of 50),Surgical Gloves
T23,Pregnancy Test Kit,Face Masks (Box of 50),Cotton Balls
T24,Glucose Tablets,Glucose Monitor Kit,Diabetic Test Strips
T25,Paracetamol Tablets,Cold & Flu Capsules,ORS Powder Pack
T26,Multivitamin Capsules,Calcium Tablets,Iron Supplement
T27,Eye Drops,Ear Drops,Nasal Spray
T28,Laxative Syrup,Omeprazole Capsules,Antacid Suspension
T29,First Aid Kit,Band-Aids (Pack of 50),Thermometer (Digital)
T30,Hot Water Bag,Muscle Relaxant Gel,Pain Relief Spray
T31,Vitamin C Chewables,Hand Sanitizer,Face Masks (Box of 50)
T32,Insulin Pen,Glucose Monitor Kit,Diabetic Test Strips
T33,Blood Pressure Monitor,Thermometer (Digital),Face Masks (Box of 50)
T34,Paracetamol Tablets,Cough Syrup,Hand Sanitizer
T35,Vitamin C Chewables,Zinc Tablets,Multivitamin Capsules
T36,First Aid Kit,Antiseptic Cream,Band-Aids (Pack of 50)
T37,Ibuprofen 400mg,Hot Water Bag,Pain Relief Spray
T38,Paracetamol Tablets,ORS Powder Pack,Cold & Flu Capsules
T39,Pregnancy Test Kit,Thermometer (Digital),Cotton Balls
T40,Glucose Tablets,Diabetic Test Strips,Insulin Pen
T41,Hand Sanitizer,Face Masks (Box of 50),Cotton Balls
T42,Antiseptic Cream,Band-Aids (Pack of 50),First Aid Kit
T43,Omeprazole Capsules,Antacid Suspension,Laxative Syrup
T44,Eye Drops,Nasal Spray,Face Masks (Box of 50)
T45,Paracetamol Tablets,Vitamin C Chewables,Zinc Tablets
T46,Insulin Pen,Glucose Monitor Kit,Glucose Tablets
T47,First Aid Kit,Band-Aids (Pack of 50),Thermometer (Digital)
T48,Paracetamol Tablets,Cough Syrup,Vitamin C Chewables
T49,Vitamin C Chewables,Zinc Tablets,Multivitamin Capsules
T50,Hot Water Bag,Pain Relief Spray,Muscle Relaxant Gel
