Item#,Item Name
1,Chicken Tikka Masala
2,Chicken Lollipop
3,Chicken 65
4,Tandoori Chicken
5,Lamb Rogan Josh
6,Mutton Kebab
7,Grilled Prawns
8,Butter Garlic Fish
9,Paneer Tikka
10,Veg Spring Rolls
11,Cream of Tomato Soup
12,Hot & Sour Chicken Soup
13,Caesar Salad
14,Greek Salad
15,Chicken Biryani
16,Veg Pulao
17,Dal Makhani
18,Butter Naan
19,Chicken Fried Rice
20,Veg Manchurian
21,Chocolate Lava Cake
22,Gulab Jamun
23,Brownie with Ice Cream
24,Rasmalai
25,Fruit Custard
26,Mojito (Non-Alcoholic)
27,Blue Lagoon
28,Whiskey Sour
29,Old Fashioned
30,Margarita
31,Draft Beer Pint
32,Red Wine (Glass)
33,White Wine (Glass)
34,Chicken Wings
35,Loaded Nachos
36,French Fries
37,Cheese Quesadilla
38,Chicken Burger
39,Paneer Slider
40,Chicken Tenders
