Item#,Item Name
1,Organic Bananas
2,Fresh Strawberries
3,Blueberries (Pack)
4,Kale Greens
5,Avocados
6,Baby Spinach
7,Almond Butter
8,Peanut Butter
9,Organic Eggs (Dozen)
10,Oat Milk
11,Soy Milk
12,Almond Milk
13,Quinoa (1 lb)
14,Brown Rice
15,Basmati Rice
16,Organic Pasta
17,Marinara Sauce
18,Olive Oil
19,Coconut Oil
20,Multigrain Bread
21,Sourdough Bread
22,Greek Yogurt
23,Tofu Block
24,Plant-Based Burger Patties
25,Organic Chicken Breast
26,Fresh Salmon Fillet
27,Shrimp (Frozen)
28,Spinach Pizza
29,Cheese Pizza
30,Organic Honey
31,Maple Syrup
32,Organic Granola
33,Dark Chocolate Bar
34,Almonds (Pack)
35,Cashews (Pack)
36,Pistachios (Pack)
37,Herbal Green Tea
38,Kombucha Drink
39,Fresh Orange Juice
40,Coconut Water
