support,itemsets
0.02,frozenset({'AirPods 3rd Gen'})
0.02,frozenset({'AirPods Max'})
0.1,frozenset({'AirPods Pro (2nd Gen)'})
0.04,frozenset({'AirTag (4-Pack)'})
0.02,frozenset({'Apple TV 4K'})
0.06,frozenset({'Apple Watch Series 10'})
0.02,frozenset({'Apple Watch Ultra 2'})
0.04,frozenset({'Beats Fit Pro'})
0.04,frozenset({'Beats Studio Pro'})
0.04,frozenset({'Final Cut Pro License'})
0.04,frozenset({'HomePod Mini'})
0.02,frozenset({'Logic Pro License'})
0.02,frozenset({'Mac Mini M2'})
0.04,frozenset({'Mac Studio M3 Ultra'})
0.1,frozenset({'MacBook Air M3'})
0.02,frozenset({'MacBook Pro 14” M3'})
0.02,frozenset({'MacBook Pro 16” M3 Max'})
0.02,frozenset({'iPad Air 11” M2'})
0.02,frozenset({'iPad Mini 6th Gen'})
0.08,frozenset({'iPad Pro 13” M4'})
0.06,frozenset({'iPhone 15 Pro'})
0.12,frozenset({'iPhone 16'})
0.02,frozenset({'iPhone 16 Pro Max'})
0.02,frozenset({'iPhone SE (3rd Gen)'})
