itemset,support
{'Kids Haircut'},0.08
{'Bridal Hairstyle'},0.06
{'Hair Smoothening'},0.06
{'Facial Cleanup'},0.06
{'Beard Trim'},0.06
{'Hair Wash'},0.06
{'Hair Coloring (Full)'},0.06
{'Beard Coloring'},0.04
{'Bob Cut'},0.04
{'Eyebrow Threading'},0.04
{'Groom Hairstyle'},0.04
{'Hair Botox Treatment'},0.04
{'Fade Haircut'},0.04
{'Hair Cut (Layered)'},0.04
{'Hair Curling'},0.04
{'Hair Straightening'},0.04
{'Hot Towel Shave'},0.04
{'Layered Haircut'},0.04
{'Pedicure'},0.04
{'Shampoo + Conditioner Package'},0.04
{'Undercut Style'},0.04
