support,itemsets
0.06,frozenset({'Hair Wash'})
0.06,frozenset({'Beard Trim'})
0.06,frozenset({'Hair Smoothening'})
0.06,frozenset({'Facial Cleanup'})
0.06,frozenset({'Hair Coloring (Full)'})
0.08,frozenset({'Kids Haircut'})
0.04,frozenset({'Shampoo + Conditioner Package'})
0.06,frozenset({'Bridal Hairstyle'})
0.04,frozenset({'Groom Hairstyle'})
0.04,frozenset({'Hair Botox Treatment'})
0.04,frozenset({'Beard Coloring'})
0.04,frozenset({'Eyebrow Threading'})
0.04,frozenset({'Pedicure'})
0.04,frozenset({'Hair Cut (Layered)'})
0.04,frozenset({'Bob Cut'})
0.04,frozenset({'Fade Haircut'})
0.04,frozenset({'Undercut Style'})
0.04,frozenset({'Hair Straightening'})
0.04,frozenset({'Hair Curling'})
0.04,frozenset({'Layered Haircut'})
0.04,frozenset({'Hot Towel Shave'})
